        Cr ,       Ni,     Mn ,       N ,Cu,Si,W,Ti,Mo,C, Yield Strength (Mpa),UTS (Mpa),   %  Elongation ,nickel equivalent,Cr equivalent,Austenite
15.4,4,15.3,0.1,0,0.28,0,0,0,,353.26251,623.97574,78.44358,11.75,15.82,0
15.2,4,15.1,0,0,0.32,0,0,0,,316.451,647.68948,67.81591,11.55,15.68,0
15.1,4,14.8,0.01,0,0.33,0,0,0,,275.04621,647.68948,75.53821,11.41,15.595,0
15,5,0,0,4,0,0,0,0,0,758.42,1034.21,12,9,15,0
15,5,0,0,0,0,0,0,2.5,,379.21,896.32,35,5,17.5,0
15,5,0,0,3,0,0,0,0,0.07,1110.06,1289.32,10,10.1,15,0
15,4.1,15.2,0.2,0,0.26,0,0,0,,409.10473,673.74808,74.35797,11.9,15.39,0
15,7,0,0,0,0,0,0,2.5,0,1551.5,1654.7,6,7,17.5,0
14.9,4,15,0,0,0.29,0,0,0,,295.74857,662.47689,73.15132,11.5,15.335,0
14.9,4,14.9,0.31,0,0.27,0,0,0,,475.84562,705.31107,72.84046,11.76,15.305,0
14,8,0,0,0,0,0,0,2.5,0,1516.28,1620.27,5,8,16.5,0
13,8,0,0,0,0,0,0,2.2,0,1378.95,1551.5,13,8,15.2,0
13,0,0,0,0,0,0,0,0,0.15,344,655,25,4.5,13,0
12.5,0,0,0,0,0,0,0,0,0.08,275,448,25,2.4,12.5,0
12.5,2,0,0,0,0,0,0,0,0.15,724,827,15,6.5,12.5,0
12,4,0,0,0,0,0,0,0.7,0.06,689.48,827.37,24,5.8,12.7,0
12,2,0,0,0,0,3,0,0,0,1034.21,1172.5,13,2,12,0
12,0,0,0,0,0,0,0,0,0.15,310,482.3,25,4.5,12,0
12,4,0,0,0,0,0,0,0.7,,689,827,24,4,12.7,0
11.75,9,0,0,2.25,0,0,1.2,0,0.03,792.9,965.27,12,12.15,14.15,0
11,0,1,0,0,1,0,0.75,0,0.08,262,468,25,2.9,14,0
